event_id,n_trig,n_trig_UD,n_trig_LD,trig_E_tot,trig_E_max,trig_E_mean,trig_t_span,E_UD,E_LD,frac_E_UD,E_UD_max,E_LD_max,det_first,det_last,det_mismatch,both_dets,dt_firstUD_firstLD,n_unique_pix,pix_spread_max,pix_spread_rms,Ew_mean_t,earliest_E
44284,2,1,1,310.00000953674316,288.3333435058594,155.00000476837158,14920.0,21.66666603088379,288.3333435058594,0.06989246891721698,21.66666603088379,288.3333435058594,0,1,1,1,-14920.0,2,0.0,0.0,1042.7956362448774,288.3333435058594
44246,2,1,1,361.0,338.0,180.5,16944.0,23.0,338.0,0.06371191135734072,23.0,338.0,0,1,1,1,-16944.0,2,0.0,0.0,1079.5346260387812,338.0
155969,3,1,2,641.6666717529297,453.0,213.8888905843099,116064.0,21.0,620.6666717529297,0.0327272724678553,21.0,453.0,0,1,1,1,-116064.0,3,9.006666666666668,7.353898930650477,69459.68983902819,167.6666717529297
86793,2,1,1,258.3333377838135,237.6666717529297,129.16666889190674,14896.0,20.66666603088379,237.6666717529297,0.07999999616069185,20.66666603088379,237.6666717529297,0,1,1,1,-14896.0,2,0.0,0.0,1191.6799428096658,237.6666717529297
288,3,1,2,750.6666717529297,500.0,250.22222391764322,153752.0,21.0,729.6666717529297,0.027975133025370046,21.0,500.0,0,1,1,1,-153752.0,3,12.008897532709284,8.491572879953134,35155.70559608564,500.0
118449,2,1,1,133.33333587646484,109.33333587646484,66.66666793823242,24048.0,24.0,109.33333587646484,0.1799999965667725,24.0,109.33333587646484,0,1,1,1,-24048.0,2,4.503350000000001,4.503349999999999,4328.639917437746,109.33333587646484
100388,2,1,1,549.3333530426025,525.6666870117188,274.66667652130127,21440.0,23.66666603088379,525.6666870117188,0.043082521568735634,23.66666603088379,525.6666870117188,0,1,1,1,-21440.0,2,0.0,0.0,923.689262433692,525.6666870117188
45234,3,1,2,588.6666717529297,439.0,196.22222391764322,41936.0,16.0,572.6666717529297,0.02718006771532564,16.0,439.0,0,1,1,1,-41936.0,3,13.757908432768568,10.399991802026683,16902.061009113826,133.6666717529297
68919,2,1,1,61.99999809265137,42.33333206176758,30.999999046325684,108744.0,19.66666603088379,42.33333206176758,0.3172043005790803,19.66666603088379,42.33333206176758,0,1,1,1,-108744.0,2,9.00665,9.00665,34494.064462171504,42.33333206176758
161982,4,1,3,985.000020980835,521.6666870117188,246.25000524520874,32080.0,19.33333396911621,965.6666870117188,0.01962774980437526,19.33333396911621,521.6666870117188,0,1,1,1,-32080.0,4,5.957380833103167,5.034886355408133,3570.9508756831992,521.6666870117188
145303,2,1,1,673.6666469573975,652.3333129882812,336.83332347869873,16000.0,21.33333396911621,652.3333129882812,0.03166749321117174,21.33333396911621,652.3333129882812,0,1,1,1,-16000.0,2,4.503350000000001,4.50335,506.67989137874775,652.3333129882812
162918,4,1,3,304.6666660308838,159.0,76.16666650772095,195928.0,23.66666603088379,281.0,0.07768052323940394,23.66666603088379,159.0,0,1,1,1,-195928.0,4,17.58607043744068,11.699999820165596,156846.3631569559,33.0
33411,2,1,1,209.6666660308838,186.0,104.8333330154419,22752.0,23.66666603088379,186.0,0.11287758077575241,23.66666603088379,186.0,0,1,1,1,-22752.0,2,4.503300000000001,4.5033,2568.190717809919,186.0
130078,2,1,1,314.00000953674316,291.3333435058594,157.00000476837158,15688.0,22.66666603088379,291.3333435058594,0.0721868323008169,22.66666603088379,291.3333435058594,0,1,1,1,-15688.0,2,4.50334907485529,4.50334907485529,1132.4670251352156,291.3333435058594
124650,2,1,1,319.6666660308838,299.0,159.8333330154419,15488.0,20.66666603088379,299.0,0.06465067592905396,20.66666603088379,299.0,0,1,1,1,-15488.0,2,4.503300000000001,4.5033,1001.3096687891878,299.0
100151,3,1,2,537.6666717529297,367.3333435058594,179.22222391764322,56280.0,22.0,515.6666717529297,0.04091754456022803,22.0,367.3333435058594,0,1,1,1,-56280.0,3,12.008866666666666,8.491551054365091,30281.205696033063,148.3333282470703
117978,2,1,1,467.00000953674316,445.3333435058594,233.50000476837158,28008.0,21.66666603088379,445.3333435058594,0.04639542952552996,21.66666603088379,445.3333435058594,0,1,1,1,-28008.0,2,4.503299999999999,4.503299999999999,1299.4431901510432,445.3333435058594
8562,2,1,1,84.0,64.0,42.0,46864.0,20.0,64.0,0.23809523809523808,20.0,64.0,0,1,1,1,-46864.0,2,7.800001602563938,7.800001602563938,11158.095238095239,64.0
97869,2,1,1,291.6666564941406,272.6666564941406,145.8333282470703,14552.0,19.0,272.6666564941406,0.06514285941485977,19.0,272.6666564941406,0,1,1,1,-14552.0,2,0.0,0.0,947.9588902050394,272.6666564941406
103382,2,1,1,260.6666669845581,247.0,130.33333349227905,12320.0,13.666666984558105,247.0,0.052429668674774284,13.666666984558105,247.0,0,1,1,1,-12320.0,2,0.0,0.0,645.9335180732191,247.0
