n_trig,n_trig_UD,n_trig_LD,trig_E_tot,trig_E_max,trig_E_mean,trig_t_span,E_UD,E_LD,frac_E_UD,E_UD_max,E_LD_max,det_first,det_last,det_mismatch,both_dets,dt_firstUD_firstLD,n_unique_pix,pix_spread_max,pix_spread_rms,Ew_mean_t,earliest_E,event_class,event_id
5,2,3,1821.2614479064941,1300.871337890625,364.25228958129884,45580.088078638626,1466.4042205810547,354.85722732543945,0.805158546713136,1300.871337890625,153.20680236816406,0,0,0,1,-10481.225102034976,5,34.78951176866959,25.601760603708485,1860.6745903785259,153.20680236816406,MISSED_PROTON,10457
2,1,1,499.47847080230713,487.310791015625,249.73923540115356,36633.845251254774,12.167679786682129,487.310791015625,0.02436076927827802,12.167679786682129,487.310791015625,0,1,1,1,-36633.845251254774,2,4.50334907485529,4.50334907485529,892.4286519419584,487.310791015625,CLEAN,2431
3,1,2,1385.5947380065918,780.1222534179688,461.86491266886395,35842.51208485973,51.9635124206543,1333.6312255859375,0.03750267736684136,51.9635124206543,780.1222534179688,1,0,1,1,6360.104030119612,3,22.666275486820602,22.666259950615782,16360.764544833533,51.9635124206543,MISSED_PROTON,6294
2,1,1,326.8519582748413,317.5816955566406,163.42597913742065,18712.847540083607,9.270262718200684,317.5816955566406,0.028362267636792192,9.270262718200684,317.5816955566406,0,1,1,1,-18712.847540083607,2,18.01332129904144,18.01332129904144,530.7387901783396,317.5816955566406,MISSED_PROTON,14395
3,1,2,835.8660278320312,527.1665649414062,278.62200927734375,18791.326700233567,186.81431579589844,649.0517120361328,0.22349791662239812,186.81431579589844,527.1665649414062,1,0,1,1,35.84242803143929,3,18.013333333333332,12.737350151773676,11856.59839839578,186.81431579589844,MISSED_PROTON,17394
3,1,2,777.3650016784668,574.5452270507812,259.1216672261556,8698.180411962632,53.78928756713867,723.5757141113281,0.0691943777388977,53.78928756713867,574.5452270507812,0,1,1,1,-8698.180411962632,3,6.004399999999997,4.245751956956505,-6394.323975992019,574.5452270507812,MISSED_PROTON,16054
3,1,2,161.5689811706543,100.13823699951172,53.856327056884766,18988.229770199458,29.594038009643555,131.97494316101074,0.18316658182293907,29.594038009643555,100.13823699951172,0,1,1,1,-18988.229770199458,3,42.031071784573854,29.720455879410732,10813.518894967769,31.836706161499023,CLEAN,2938
2,1,1,150.26810455322266,103.98470306396484,75.13405227661133,27066.617028436132,103.98470306396484,46.28340148925781,0.6919945079039381,103.98470306396484,46.28340148925781,0,1,1,1,-27066.617028436132,2,16.23700849055946,16.23700849055946,18729.950331217016,46.28340148925781,MISSED_PROTON,15775
2,1,1,2266.0794067382812,1583.4544677734375,1133.0397033691406,19915.57178068369,1583.4544677734375,682.6249389648438,0.6987638928560799,1583.4544677734375,682.6249389648438,0,1,1,1,-19915.57178068369,2,20.63686264915285,20.63686264915285,13916.282465925227,682.6249389648438,MISSED_PROTON,6255
3,2,1,617.2612686157227,503.9185485839844,205.75375620524088,66106.74008995388,517.9511108398438,99.3101577758789,0.8391116325853507,503.9185485839844,99.3101577758789,1,1,0,1,20282.898229489547,2,16.23697382180559,16.23697382180559,4766.125656587094,503.9185485839844,CLEAN,18857
2,1,1,162.84042358398438,93.6659927368164,81.42021179199219,28077.46195208248,69.17443084716797,93.6659927368164,0.424798887921656,69.17443084716797,93.6659927368164,0,1,1,1,-28077.46195208248,2,0.0,0.0,11927.274612907248,93.6659927368164,MISSED_PROTON,634
2,1,1,267.15855407714844,142.89752197265625,133.57927703857422,11531.975887026309,124.26103210449219,142.89752197265625,0.4651209186759142,124.26103210449219,142.89752197265625,0,1,1,1,-11531.975887026309,2,19.629599763877003,19.629599763877,-6168.2126683041415,142.89752197265625,MISSED_PROTON,5290
2,1,1,519.7874479293823,506.9197998046875,259.89372396469116,3760.2892823796055,12.867648124694824,506.9197998046875,0.0247555961113609,12.867648124694824,506.9197998046875,1,0,1,1,3760.2892823796055,2,15.600003205127877,15.600003205127877,-93.08820273646865,12.867648124694824,MISSED_PROTON,16263
2,1,1,233.0970001220703,135.78994750976562,116.54850006103516,36.61020013693943,97.30705261230469,135.78994750976562,0.41745304556191654,97.30705261230469,135.78994750976562,0,1,1,1,-36.61020013693943,2,0.0,0.0,15.283039545796662,135.78994750976562,MISSED_PROTON,15560
3,1,2,1126.7532958984375,614.6796264648438,375.5844319661458,30918.894563992202,408.55462646484375,718.1986694335938,0.36259456968268744,408.55462646484375,614.6796264648438,0,0,0,1,-2308.2224598678204,3,27.515816865537133,20.79999750357891,1369.361049218914,614.6796264648438,MISSED_PROTON,1909
4,1,3,1814.2487258911133,1387.8248291015625,453.5621814727783,38977.438268151534,22.402305603027344,1791.846420288086,0.012347979239739522,22.402305603027344,1387.8248291015625,0,0,0,1,-18537.188757433814,4,25.967477386254235,19.500004382483482,29892.90460586777,166.04791259765625,CLEAN,1611
3,1,2,1904.76535987854,1631.7152099609375,634.92178662618,16572.870573098055,16.657114028930664,1888.1082458496094,0.008744969002372465,16.657114028930664,1631.7152099609375,0,1,1,1,-16572.870573098055,3,42.56384080935888,30.320956023003113,7318.769965576339,256.3930358886719,CLEAN,8628
5,1,4,2474.8872289657593,1530.1756591796875,494.97744579315184,50505.64918619279,14.56149959564209,2460.325729370117,0.005883702265386554,14.56149959564209,1530.1756591796875,0,0,0,1,-39285.769369676535,4,35.387710941520716,21.242178101288836,324.92864538712246,1530.1756591796875,BREMS_LOSS,15835
3,1,2,774.0503845214844,459.5473327636719,258.0167948404948,2104.7888260246664,203.4025115966797,570.6478729248047,0.2627768368365614,203.4025115966797,459.5473327636719,1,0,1,1,625.2184538058287,3,36.40000976800845,26.514908175506765,1339.3342600144097,203.4025115966797,MISSED_PROTON,7201
3,1,2,593.8505859375,389.25701904296875,197.9501953125,21479.90748606646,389.25701904296875,204.59356689453125,0.6554797254741385,389.25701904296875,137.69300842285156,0,1,1,1,-21479.90748606646,3,34.09868619169952,26.000012113971536,14520.59769358134,137.69300842285156,MISSED_PROTON,3065
6,2,4,1185.9479532241821,575.805419921875,197.65799220403036,38559.545645908795,144.7300729751587,1041.2178802490234,0.12203745753065107,135.41883850097656,575.805419921875,0,0,0,1,-31.66542865181577,6,41.708195870865715,29.72047312217343,24045.93073017934,190.251220703125,BS_CROSS_DET,9912
2,1,1,256.86659240722656,151.05711364746094,128.43329620361328,31.80801645912003,151.05711364746094,105.80947875976562,0.5880761380132327,151.05711364746094,105.80947875976562,0,1,1,1,-31.80801645912003,2,0.0,0.0,18.705535477140646,105.80947875976562,MISSED_PROTON,3468
3,1,2,800.5255432128906,361.9604187011719,266.8418477376302,8874.763355778881,358.946533203125,441.5790100097656,0.44838860701746186,358.946533203125,361.9604187011719,0,1,1,1,-8874.763355778881,3,36.39997861112008,27.51579861207012,4341.889158308241,361.9604187011719,MISSED_PROTON,12690
3,1,2,460.7150821685791,321.2534484863281,153.57169405619302,41068.20955882471,28.38799476623535,432.32708740234375,0.06161724646090047,28.38799476623535,321.2534484863281,0,1,1,1,-41068.20955882471,3,6.004466666666667,4.245799097408585,2530.510430726203,321.2534484863281,CLEAN,19396
3,2,1,143.62964820861816,86.33233642578125,47.87654940287272,37987.79113221161,57.297311782836914,86.33233642578125,0.39892398608130075,37.2346076965332,86.33233642578125,0,1,1,1,-43.7329640070788,2,0.0,0.0,5317.608179522478,86.33233642578125,BS_CROSS_DET,17754
5,2,3,750.6804676055908,460.74481201171875,150.13609352111817,43734.50131830702,72.25184059143066,678.4286270141602,0.09624846217444404,55.821773529052734,460.74481201171875,1,1,0,1,6880.247398612964,5,29.980172975858558,21.91417421327119,-732.6515501217634,55.821773529052734,CLEAN,10214
2,1,1,191.3885898590088,179.1860809326172,95.6942949295044,17544.528649820055,12.202508926391602,179.1860809326172,0.06375776599525022,12.202508926391602,179.1860809326172,0,1,1,1,-17544.528649820055,2,4.503324074780762,4.503324074780761,1118.5999521521903,179.1860809326172,CLEAN,1473
