,noise0p0_ks,noise0p0_wass,noise0p5_ks,noise0p5_wass,noise1p0_ks,noise1p0_wass,noise2p0_ks,noise2p0_wass
n_trig,0.688740962755728,1.1869228487604462,0.4692879283257611,0.804395925377267,0.31989674176099453,0.42401613914706454,0.205251003461987,0.6444062322471954
n_trig_UD,0.6294209795672312,0.7212935148210414,0.5836949598743153,0.6462757538078957,0.5418552516494994,0.5726265046516648,0.4671003188702398,0.5116846489385213
n_trig_LD,0.25069990609228965,0.46562933393940475,0.055257500061944624,0.1580692183189787,0.1446047181636101,0.2335287605031429,0.3766631101029644,0.7760532862619386
trig_E_tot,0.15956720920028988,126.11659203937332,0.05606197070834848,37.537788471228545,0.12513065820837854,104.07546390606544,0.29485167571664556,330.2721102652337
trig_E_max,0.06799446237212725,55.61294021366369,0.08124520120881881,29.220241176170983,0.12019601355913315,57.41545501984375,0.19202684524691177,145.62457593989024
trig_E_mean,0.26681758951667145,89.35972571662184,0.2665793491895412,91.4211483648274,0.2744123238383565,96.56518236186446,0.29686436425720625,103.51078653249984
trig_t_span,0.7991831986856461,66341.52642545337,0.6495515249319423,61102.02872542687,0.5283549247411993,56691.66214970086,0.4388573956801439,49705.27587482967
E_UD,0.629432884047836,36.134182822433374,0.5837027802513679,40.82036120323053,0.5418552516494994,49.642201559346205,0.4671003188702398,87.78506585459814
E_LD,0.12852686537075808,112.16113846018712,0.05823826520992135,25.60693026817958,0.08957540102189682,77.38295118898876,0.24000820781136423,258.9253074355502
frac_E_UD,0.6294209795672312,0.10061084359047678,0.5836949598743153,0.09120564964763192,0.5418552516494994,0.0842018172060655,0.4671003188702398,0.07439630534974785
E_UD_max,0.629432884047836,34.46062081869702,0.5837027802513679,38.9510276725453,0.5418552516494994,46.735281137690855,0.4671003188702398,78.71097048167898
E_LD_max,0.08931061772498508,53.924349168032734,0.05827223404351652,15.014798073707771,0.07333109552191858,42.037393300754,0.15081146052959482,119.97269918163303
det_first,0.07981358803225469,0.07981358803225469,0.08657175981839815,0.08657175981839815,0.09121159494844922,0.09121159494844922,0.1000686051577242,0.1000686051577242
det_last,0.6432904696607558,0.6432904696607558,0.6584773470340962,0.6584773470340962,0.6694292774470759,0.6694292774470759,0.6902882569983738,0.6902882569983738
det_mismatch,0.698251901278106,0.698251901278106,0.6595835215270305,0.6595835215270305,0.6337419313019728,0.6337419313019728,0.6084437256363268,0.6084437256363268
both_dets,0.7152971260691794,0.7152971260691794,0.6389524599362599,0.6389524599362599,0.5744852221579118,0.5744852221579118,0.47058377317297084,0.47058377317297084
dt_firstUD_firstLD,0.7729727490700717,60140.76643956012,0.728315839754174,59107.36618199632,0.6947343184024172,58633.29707849384,0.6675948935653092,57813.249552630754
n_unique_pix,0.690091964618806,1.1341287895164809,0.4702451602252482,0.7556596589562004,0.3198048680504299,0.3800933239871929,0.22580934765197025,0.6703840894829621
pix_spread_max,0.7249876604532959,5.888045657012446,0.45963637829957066,6.37379657166683,0.3895742633532673,9.468141863534411,0.6396005735047998,16.38721593002471
pix_spread_rms,0.7249876604532959,5.1076727143833915,0.45963637829957066,5.861600008287034,0.4308437131278905,7.968615664256264,0.6777416407290944,12.331347742670106
Ew_mean_t,0.7988017186825724,17223.036219487672,0.61870952172582,15292.112670865909,0.4895263755319434,13728.501719017153,0.3224234192301357,11403.180037334669
earliest_E,0.11442169043803896,51.54661890773856,0.09367987437998992,40.30178427659195,0.07724892067986155,29.525884445900736,0.04631652189983054,13.476213383002671
