,noise0p0_ks,noise0p0_wass,noise0p5_ks,noise0p5_wass,noise1p0_ks,noise1p0_wass,noise2p0_ks,noise2p0_wass
n_trig,0.24398691277423656,0.41456319641327843,0.031186334356190892,0.09735036740555036,0.19277557112791804,0.2961143613045211,0.4085808377341328,0.9730335543345366
n_trig_UD,0.020268701880924445,0.02753297393249765,0.03924383839469847,0.040608160215570344,0.08947980729099181,0.09896037990655371,0.17714292120520225,0.2164003793186159
n_trig_LD,0.2540404947868772,0.3870302224807807,0.040770773331379906,0.09798231847886718,0.1468745900788796,0.20157375165341662,0.3727095422746804,0.7566331750159209
trig_E_tot,0.1430959010603603,112.64082266120415,0.12457770989187883,68.10222055263144,0.21655587915473123,201.67149949633267,0.3858754018016093,441.7957963300408
trig_E_max,0.07654940207287841,57.971833203404074,0.08782821783470163,29.547705893068635,0.13556926200884356,92.37507692427015,0.21682210285839182,185.35188424240528
trig_E_mean,0.06175607470889655,19.11658609959073,0.130202348996489,33.575116964710865,0.1814730437654269,57.970608473669444,0.24522440691549258,82.32948663041735
trig_t_span,0.39659294256076427,49462.88754896648,0.40371955020743777,47648.49887473644,0.4080052333858648,45816.79090437933,0.41238889872018847,42368.391725833266
E_UD,0.33383854650596334,32.33753511635898,0.4781595397257753,80.94412192187657,0.5655672288455721,127.12379851090486,0.6619050866919393,191.96527561422698
E_LD,0.13853102778367188,112.75663208320432,0.03023415204384261,21.920221796770544,0.07315092323880801,75.10174072900858,0.22494437133141065,249.98009278582524
frac_E_UD,0.1654265591088061,0.07998589926678021,0.26539259020516515,0.13127038208037517,0.30980998324928233,0.15140234627476173,0.3441043124031116,0.15963280875533942
E_UD_max,0.33056571600852647,30.2046136332074,0.47464022201101985,77.79536282170326,0.5618458534063797,119.02799013268412,0.6582544267649525,171.55886536802976
E_LD_max,0.06937710138163844,52.93204439935435,0.018931522593928912,8.684755105709868,0.053129041501193686,42.542290304244744,0.12678958255737194,117.7570759272416
det_first,0.03521404793509875,0.03521404793509875,0.1352967262517648,0.1352967262517648,0.17881473879611065,0.17881473879611065,0.2133737531311689,0.2133737531311689
det_last,0.0545527409955416,0.0545527409955416,0.2262124948623099,0.2262124948623099,0.32292976516739214,0.32292976516739214,0.447312212265877,0.447312212265877
det_mismatch,0.007983975008111049,0.007983975008111049,0.1029806555571491,0.1029806555571491,0.18052358935229312,0.18052358935229312,0.2960965157191378,0.2960965157191378
both_dets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dt_firstUD_firstLD,0.36336921658558496,46798.762603734125,0.3757001597279705,49926.01463879705,0.41077046400799266,51782.636956899056,0.46457990603652455,53247.78366552309
n_unique_pix,0.24417728967582686,0.384115788034887,0.027581211140181083,0.08571633299733483,0.20579897013459258,0.31337761160990296,0.4279409611300109,0.9858292840200518
pix_spread_max,0.4663893202884724,4.594912736251513,0.34227556162654105,7.968023491782133,0.5458317128438266,13.250747855334437,0.7603171857014407,20.657126440965445
pix_spread_rms,0.5034768214715508,3.8938093534280056,0.3631601761879685,6.231096828431455,0.568152640458252,9.733540865334101,0.7773066531268004,14.482539428887433
Ew_mean_t,0.37575658618915464,16141.326986462838,0.2473717516794053,13780.531315749371,0.2255772686725431,12304.66597669801,0.1844732029938784,11203.741490368127
earliest_E,0.05454400202776616,34.62034850007811,0.04000812212641086,21.430318745799028,0.030568265853329557,10.129985508077667,0.02566524554730115,8.081358383435054
